"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.packageName"	"Answer.permissionType"	"Answer.purposeType"	"Answer.permissionText"	"Answer.purposeText"	"Answer.Q1categoryQuestion"	"Answer.Q1realCategry"	"Answer.Q2comfortQuestion"	"Answer.Q2comment"
"37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Tue Mar 25 15:03:45 EDT 2014"	"20"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1"	"900"	"604800"	"Tue Apr 08 15:03:45 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=37NXA7GVST60RWD0ZA967HV9H8SVLR"	"33PPO7FECVFFUY32DOH0YZSTMUZDIN"	"A29VL3MZE7YPBZ"	"Approved"	"Tue Apr 01 15:07:15 EDT 2014"	"Tue Mar 25 15:06:15 EDT 2014"	"Tue Mar 25 15:07:15 EDT 2014"	"Tue Apr 01 15:08:49 EDT 2014"	""	""	""	""	"com.facebook.katana"	"READ_PHONE_STATE"	"UTILITY"	"uses user's phone ID or phone number"	"for reporting bug to the app developer"	"APPLICATION"	"APPLICATION"	"-2"	""
"37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Tue Mar 25 15:03:45 EDT 2014"	"20"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1"	"900"	"604800"	"Tue Apr 08 15:03:45 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=37NXA7GVST60RWD0ZA967HV9H8SVLR"	"35BLDD71I6XNJ5SY4D5G4G1QIE5VZ1"	"A3G00Q5JV2BE5G"	"Approved"	"Tue Apr 01 15:07:18 EDT 2014"	"Tue Mar 25 15:05:58 EDT 2014"	"Tue Mar 25 15:07:18 EDT 2014"	"Tue Apr 01 15:08:49 EDT 2014"	""	""	""	""	"com.facebook.katana"	"READ_PHONE_STATE"	"UTILITY"	"uses user's phone ID or phone number"	"for reporting bug to the app developer"	"APPLICATION"	"APPLICATION"	"2"	""
"37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Tue Mar 25 15:03:45 EDT 2014"	"20"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1"	"900"	"604800"	"Tue Apr 08 15:03:45 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3H8DHMCCW9B60TTQDR2CBF76EYPKD6"	"A36VA1TSX3RYED"	"Approved"	"Tue Apr 01 15:09:12 EDT 2014"	"Tue Mar 25 15:08:17 EDT 2014"	"Tue Mar 25 15:09:12 EDT 2014"	"Tue Apr 01 15:13:52 EDT 2014"	""	""	""	""	"com.facebook.katana"	"READ_PHONE_STATE"	"UTILITY"	"uses user's phone ID or phone number"	"for reporting bug to the app developer"	"APPLICATION"	"APPLICATION"	"1"	""
"37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Tue Mar 25 15:03:45 EDT 2014"	"20"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1"	"900"	"604800"	"Tue Apr 08 15:03:45 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3TE3O8573085KN856MRSG82GCZTR2W"	"A18TXM6GMU1411"	"Approved"	"Tue Apr 01 15:12:01 EDT 2014"	"Tue Mar 25 15:07:02 EDT 2014"	"Tue Mar 25 15:12:01 EDT 2014"	"Tue Apr 01 15:13:54 EDT 2014"	""	""	""	""	"com.facebook.katana"	"READ_PHONE_STATE"	"UTILITY"	"uses user's phone ID or phone number"	"for reporting bug to the app developer"	"APPLICATION"	"APPLICATION"	"2"	""
"37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Tue Mar 25 15:03:45 EDT 2014"	"20"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1"	"900"	"604800"	"Tue Apr 08 15:03:45 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3Z3ZLGNNSIUUT4POX7GXUSX3MRSQ36"	"A27PVIL93ZMY46"	"Approved"	"Tue Apr 01 15:12:28 EDT 2014"	"Tue Mar 25 15:11:12 EDT 2014"	"Tue Mar 25 15:12:28 EDT 2014"	"Tue Apr 01 15:13:55 EDT 2014"	""	""	""	""	"com.facebook.katana"	"READ_PHONE_STATE"	"UTILITY"	"uses user's phone ID or phone number"	"for reporting bug to the app developer"	"APPLICATION"	"APPLICATION"	"1"	""
"37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Tue Mar 25 15:03:45 EDT 2014"	"20"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1"	"900"	"604800"	"Tue Apr 08 15:03:45 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=37NXA7GVST60RWD0ZA967HV9H8SVLR"	"354GIDR5ZB6AOJLSXM4ZDO8E6BB00O"	"A2TF8IP4PM7KAO"	"Approved"	"Tue Apr 01 15:12:40 EDT 2014"	"Tue Mar 25 15:08:12 EDT 2014"	"Tue Mar 25 15:12:40 EDT 2014"	"Tue Apr 01 15:13:55 EDT 2014"	""	""	""	""	"com.facebook.katana"	"READ_PHONE_STATE"	"UTILITY"	"uses user's phone ID or phone number"	"for reporting bug to the app developer"	"APPLICATION"	"APPLICATION"	"2"	""
"37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Tue Mar 25 15:03:45 EDT 2014"	"20"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1"	"900"	"604800"	"Tue Apr 08 15:03:45 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3N4BPTXIO8SSHV4CZMS1LFBU0YLUKR"	"A21753FQKCM5DQ"	"Approved"	"Tue Apr 01 15:15:25 EDT 2014"	"Tue Mar 25 15:15:14 EDT 2014"	"Tue Mar 25 15:15:25 EDT 2014"	"Tue Apr 01 15:18:51 EDT 2014"	""	""	""	""	"com.facebook.katana"	"READ_PHONE_STATE"	"UTILITY"	"uses user's phone ID or phone number"	"for reporting bug to the app developer"	"APPLICATION"	"APPLICATION"	"-1"	""
"37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Tue Mar 25 15:03:45 EDT 2014"	"20"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1"	"900"	"604800"	"Tue Apr 08 15:03:45 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3TE3O8573085KN856MRSG82GCZV2R9"	"A3G0T5Y7OSC76S"	"Approved"	"Tue Apr 01 15:15:31 EDT 2014"	"Tue Mar 25 15:09:02 EDT 2014"	"Tue Mar 25 15:15:31 EDT 2014"	"Tue Apr 01 15:18:51 EDT 2014"	""	""	""	""	"com.facebook.katana"	"READ_PHONE_STATE"	"UTILITY"	"uses user's phone ID or phone number"	"for reporting bug to the app developer"	"APPLICATION"	"APPLICATION"	"-2"	""
"37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Tue Mar 25 15:03:45 EDT 2014"	"20"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1"	"900"	"604800"	"Tue Apr 08 15:03:45 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3F1567XTNW5G86E4EGH7L50PMJ39Q7"	"A2KCG73A6QCNCW"	"Approved"	"Tue Apr 01 15:16:26 EDT 2014"	"Tue Mar 25 15:15:42 EDT 2014"	"Tue Mar 25 15:16:26 EDT 2014"	"Tue Apr 01 15:18:52 EDT 2014"	""	""	""	""	"com.facebook.katana"	"READ_PHONE_STATE"	"UTILITY"	"uses user's phone ID or phone number"	"for reporting bug to the app developer"	"APPLICATION"	"APPLICATION"	"2"	"Facebook has my phone ID and #, they won't do anything harmful with it. "
"37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Tue Mar 25 15:03:45 EDT 2014"	"20"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1"	"900"	"604800"	"Tue Apr 08 15:03:45 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=37NXA7GVST60RWD0ZA967HV9H8SVLR"	"37Q970SNZE8AWHQM27RJ1ZX76V01SF"	"A341LHR7178BUY"	"Approved"	"Tue Apr 01 15:17:08 EDT 2014"	"Tue Mar 25 15:15:51 EDT 2014"	"Tue Mar 25 15:17:08 EDT 2014"	"Tue Apr 01 15:18:53 EDT 2014"	""	""	""	""	"com.facebook.katana"	"READ_PHONE_STATE"	"UTILITY"	"uses user's phone ID or phone number"	"for reporting bug to the app developer"	"APPLICATION"	"APPLICATION"	"1"	""
"37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3ISL4H6O6HKMSD7DGIM4AP7LHJKCID"	"Tell us what do you think about a mobile app and Earn $0.1 in 1 minute"	"Please look at this mobile app and give us feedback by answering the following questions. Each HIT is unique in some ways, please read the questions carefully. You can complete as many HITs as you want. "	"mobile, app, review"	"$0.10"	"Tue Mar 25 15:03:45 EDT 2014"	"20"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1"	"900"	"604800"	"Tue Apr 08 15:03:45 EDT 2014"	"https://requester.mturk.com/mturk/manageHIT?HITId=37NXA7GVST60RWD0ZA967HV9H8SVLR"	"3A7Y0R2P2OOPNFSPM63C47ALFR2JX9"	"A1JTOUQAD12LQR"	"Approved"	"Tue Apr 01 15:17:25 EDT 2014"	"Tue Mar 25 15:16:06 EDT 2014"	"Tue Mar 25 15:17:25 EDT 2014"	"Tue Apr 01 15:18:53 EDT 2014"	""	""	""	""	"com.facebook.katana"	"READ_PHONE_STATE"	"UTILITY"	"uses user's phone ID or phone number"	"for reporting bug to the app developer"	"APPLICATION"	"APPLICATION"	"2"	""
