com.facebook.katana -0.088096429 B
com.instagram.android -0.088096429 B
com.whatsapp -0.142783929 B
com.cleanmaster.mguard 0 A
com.kiloo.subwaysurf -0.093980836 B
com.king.candycrushsaga 0 A
com.google.android.apps.maps -0.088096429 B
com.NextFloor.DragonFlightKakao 0 A
com.google.android.youtube 0 A
me.pou.app 0 A
com.facebook.orca -0.088096429 B
com.viber.voip -0.088096429 B
com.skype.raider -0.182077265 B
com.rovio.angrybirds -0.113214758 B
com.gameloft.android.ANMP.GloftDMHM -0.300123515 C
com.devuni.flashlight 0 A
jp.naver.line.android -0.088096429 B
com.gau.go.launcherex -0.088096429 B
com.opera.mini.android 0 A
com.twitter.android -0.088096429 B
com.fingersoft.hillclimb -0.093980836 B
com.imangi.templerun 0 A
com.zynga.words -0.515880191 C
mobi.mgeek.TunnyBrowser 0 A
com.picsart.studio 0 A
com.kakao.talk -0.386445777 C
com.imangi.templerun2 -0.093980836 B
com.tencent.mm -0.088096429 B
com.waze -0.088096429 B
com.pandora.android 0 A
com.sgiggle.production -0.142783929 B
com.creativemobile.DragRacing -0.933905844 D
com.halfbrick.fruitninjafree -0.598472863 D
com.jb.gosms -0.37426541 C
com.supercell.clashofclans 0 A
goldenshorestechnologies.brightestflashlight.free -0.279115426 B
com.antivirus -0.142783929 B
com.ansangha.drdriving 0 A
com.google.android.gm -0.088096429 B
com.igg.castleclash -0.300123515 C
com.surpax.ledflashlight.panel -0.394104351 C
com.google.android.gms -0.088096429 B
com.dragonplay.liveholdempro -0.300123515 C
com.dianxinos.dxbs 0 A
com.android.chrome 0 A
com.mxtech.videoplayer.ad 0 A
com.qihoo.security -0.088096429 B
com.outfit7.talkingtom2free -0.394104351 C
com.badoo.mobile -1.706390819 D
com.seventeenbullets.android.island -0.093980836 B
com.easy.battery.saver -0.093980836 B
com.rovio.angrybirdsseasons -0.113214758 B
com.roidapp.photogrid 0 A
com.outfit7.mytalkingtomfree -0.394104351 C
com.google.android.apps.translate 0 A
net.zedge.android 0 A
com.kii.safe 0 A
com.gameloft.android.ANMP.GloftIAHM -0.394104351 C
com.rovio.angrybirdsrio -0.113214758 B
com.evernote -0.088096429 B
com.sirma.mobile.bible.android -0.394104351 C
com.kfactormedia.mycalendarmobile -0.388219944 C
vStudio.Android.Camera360 -0.510647503 C
com.omgpop.dstfree -0.394104351 C
com.halfbrick.jetpackjoyride -0.319357437 C
com.ogqcorp.bgh 0 A
com.shazam.android -0.373096262 C
com.google.android.apps.plus -0.088096429 B
com.supercell.hayday 0 A
com.avast.android.mobilesecurity -0.142783929 B
com.yahoo.mobile.client.android.mail -0.088096429 B
com.magmamobile.game.BubbleBlast2 -0.300123515 C
com.skgames.trafficracer 0 A
com.rovio.angrybirdsspace.ads -0.113214758 B
com.outfit7.talkingtom -0.394104351 C
com.netflix.mediaclient -0.093980836 B
com.popularapp.periodcalendar 0 A
com.magmamobile.game.mousetrap -0.300123515 C
com.google.android.street 0 A
com.bbm -0.088096429 B
com.nordcurrent.Games101 -0.413338273 C
com.opera.browser 0 A
com.vkontakte.android -0.088096429 B
logos.quiz.companies.game -0.394104351 C
com.wooga.diamonddash -0.093980836 B
com.adobe.reader 0 A
org.mozilla.firefox 0 A
com.bestcoolfungames.antsmasher -0.279115426 B
com.google.android.googlequicksearchbox -0.142783929 B
com.ebay.mobile 0 A
com.UCMobile.intl -0.416666667 C
com.forshared -0.300123515 C
com.google.android.talk -0.142783929 B
com.google.android.music 0 A
com.google.earth 0 A
com.google.android.marvin.talkback 0 A
com.google.android.apps.books 0 A
com.google.android.apps.docs -0.088096429 B
com.google.android.apps.unveil 0 A
com.google.android.apps.googlevoice -0.142783929 B
com.google.android.videos 0 A
com.google.android.maps.mytracks -0.088096429 B
